Latein;Deutsch;Merkhilfe 
paulō post;kurz darauf;
portāre, portō;tragen, bringen;exportieren, transportieren
Dāvus;Davus;mänlicher Eigenname
 Āfra;Afra;weiblicher Eigenname
Melissa;Melissa;weiblicher Eigenname
Ancus;Ancus;mänlicher Eigenname
velle, volō;wollen;Volontär
circiter Adv.;ungefähr;
vīgintī indekl.;zwanzig;f. vingt
vestis, vestis f (Gen. Pl. vest-ium);Kleid, Kleidung;Weste
sacrum;Opfer, Heiligtum;Sakrament
convīvium;Gastmahl, Gelage;
prīmō Adv.;zuerst;
toga;Toga (Kleidungsstück des römischen Mannes);
tunica;Tunika (Unterkleid unter der Toga);
verbum;Wort, Äußerung;Verbum, verbal
pars, partis f (Gen. Pl. -ium);Richtung, Seite, Teil;Partei, partiell, e./f. part
cōpia;Menge, Vorrat, Möglichkeit;Kopie, kopieren, e. copy
togam sūmere;die Toga anlegen;
cōnsilium;Beratung, Beschluss, Plan, Rat;e. to counsel
admittere, admittō;hinzuziehen, zulassen;e. to admit
fīlius;Sohn;f. fils
attingere, attingō;berühren;e. to attain
probāre, probō;beweisen, für gut befinden;probieren
nōn-ne (im dir. Fragesatz);(etwa) nicht?;
auxilium;Hilfe;
gerere, gerō;ausführen, führen, tragen;Geste, gestikulieren
fīlia;Tochter;Filiale, f. fille
-que;und;## filiusque filia -> Sohn und Tochter ##
oculus;Auge;Okular, e. eye
convertere, convertō (in m. Akk.);verändern, (um)wenden, richten (auf);konvertieren, e. to convert
compōnere, compōnō;vergleichen;komponieren, Komponente
amor, amōris m;Liebe;f. amour
remanēre, remaneō;(zurück)bleiben;e. to remain
pater, patris m;Vater;Pater, Patrizier, e. father
nōlle, nōlō;nicht wollen;„nolens volens“
cupere, cupiō;verlangen, wünschen, wollen;
propinquus;Verwandter;
lībertus;Freigelassener;
gēns, gentis f (Gen. Pl. -ium);Familienverband, Stamm, Volk;f. gens
parēns, parentis m/f;Vater, Mutter;
parentēs, parentum m Pl.;Eltern;e./f. parents
soror, sorōris f;Schwester;
gaudium;Freude;Gaudi
aspicere, aspiciō;erblicken;Aspekt, e. aspect
āra;Altar;
dīcere, dīcō;sagen, sprechen;dichten, diktieren
capere, capiō;"fassen, nehmen; erobern";kapern, „kapieren“
facere, faciō;machen, tun, handeln;Fazit, Faktor
dūcere, dūcō;führen, ziehen;Aquädukt
aedis, aedis f (Gen. Pl. -ium);"Tempel; Pl. Haus, Gebäude";
deus;Gott, Gottheit;„ade“, „adieu“
dea;Göttin;
salūs, salūtis f;Gesundheit, Glück, Rettung, Gruß;Salut, e. salute
pāx, pācis f;Friede;Pazifist, e. peace, f. paix
ōrāre, ōrō (m. dopp. Akk.);bitten (jdn. um etw.), beten;Oratorium
hospes, hospitis m;Fremder, Gast, Gastgeber;Hospital, Hospiz, Hotel
