Latein;Deutsch
gēns, gentis f (Gen. Pl. -ium);Familienverband, Stamm, Volk
āra;Altar
vōbīs Dat.;euch
posteā Adv.;nachher, später
propinquus;Verwandter
aedis, aedis f (Gen. Pl. -ium);Tempel; Pl. Haus, Gebäude
aqua;Wasser
facere, faciō;machen, tun, handeln
aspicere, aspiciō;erblicken
dūcere, dūcō;führen, ziehen
post Adv.;dann, später
parēns, parentis m/f;Vater, Mutter
ōrātiō, ōrātiōnis f;Rede
ōrāre, ōrō (m. dopp. Akk.);bitten (jdn. um etw.), beten
habēre, habeō;haben, halten
cupere, cupiō;verlangen, wünschen, wollen
post Präp. m. Akk.;hinter, nach
bibere, bibō;trinken
lībertus;Freigelassener
gaudium;Freude
cōnsulere, cōnsulō (m. Dat.);sorgen für
deus;Gott, Gottheit
grātia;Ansehen, Beliebtheit; Dank, Gefälligkeit
grātiās agere;danken
interesse, intersum (m. Dat.);dazwischen sein; teilnehmen an
mōs, mōris m;Sitte, Brauch; Pl. Charakter
mōre (Abl.);nach Sitte von, nach Art von
maiōrēs, maiōrum m Pl.;Vorfahren
sīcut (Adv.);(so) wie
gēns Aquilia f;die (adlige) Familie der Aquilier
Larēs, Larum m Pl.;die Laren (Gottheiten, die Haus und Familie beschützen)
Capitōlium n;das Kapitol (einer der sieben Hügel Roms)
Iuppiter, Iovis m;Jupiter (höchster Gott der Römer)
Iuno, Iononis;Juno (Gehmahlin Jupiters)
marītus;Ehemann
comes, comitis m/f;Gefährte, Begleiter(in)
ā/ab Präp. m. Abl.;von, von ... her
Palātium (mōns Palātīnus);Palatin (einer der Hügel Roms)
servāre, servō (ā m. Abl.);bewahren, retten (vor)
corripere, corripiō, corripuī;ergreifen, gewaltsam an sich reißen
vīvere, vīvō;leben
frāter, frātris m;Bruder
tēlum;(Angriffs-)Waffe, Geschoß
egō (betont);ich
rīpa;Ufer
calamitās, calamitātis f;Unglück, Niederlage, Schaden
tenēre, teneō, tenuī;besitzen, festhalten, halten
Tiberis, Tiberis m (Akk. Tiberim);Tiber (Fluss durch Rom)
sine Präp. m. Abl.;ohne
enim Adv. (nachgestellt);nämlich, in der Tat
multitūdō, multitūdinis f;große Zahl, Menge
agmen, agminis n;(Heeres-)Zug
mūnus, mūneris n;Aufgabe; Geschenk
flēre, fleō, flēvī;beklagen, (be)weinen
lacrima;Träne
crēdere, crēdō;anvertrauen, glauben
nex, necis f;Mord, Tod
vir, virī;Mann
mūrus;Mauer
velle, volō, voluī;wollen
iter facere;marschieren, reisen
ubī Subj. m. Ind.;sobald
domum Adv.;nach Hause
esse, sum, fui;sein, sich befinden
cupere, cupiō, cupīvī;verlangen, wünschen, wollen
perīculum;Gefahr
urbs, urbis f (Gen. Pl. -ium);Stadt, Hauptstadt
