Lektion 1;;;
c13-022;verba facere (dē m. Abl.);sprechen; Gespräche führen, reden (über)
c13-023;nāvis, nāvis (f, Gen. Pl. -ium);Schiff;
c13-024;quam;als, wie;
c13-025;rēgnum;(Königs‑)Herrschaft, Reich;
c13-026;nūntius;Bote, Nachricht;
c13-027;vehemēns, vehementis;heftig, energisch, kritisch;
c13-028;nōbilis, e;adelig, berühmt, vornehm;
c13-029;plūs, plūris;mehr;
c13-030;etsi (Subj.);auch wenn, obwohl;
c13-031;temperāre, temperō (m. Akk.);lenken, ordnen;
c13-032;(C. Iūlius) Caesar, Caesaris (m);Gaius Julius Cäsar;
c13-033;discēdere, discēdō, discessī;auseinandergehen, weggehen;
c13-034;dum (Subj.);während, solange, (so lange) bis;
c13-035;quamquam (Subj.);obwohl;
c13-036;Cleopatra;Kleopatra;
c13-037;facilis, e;leicht (zu tun);
c13-038;cum (Subj. m. Ind.);(immer) wenn, als (plötzlich), (zu der Zeit) als;
c13-039;multum valēre;viel gelten;
c13-040;vērus, a, um;echt, richtig, wahr;
c13-041;ingēns, ingentis;gewaltig, ungeheuer;
c13-042;(Cn.) Pompēius (Magnus);Gnäus Pompejus Magnus;
c13-043;adiungere, adiungō, adiūnxī;hinzufügen, anschließen;
c13-044;perspicere, perspiciō, perspēxī;erkennen, genau betrachten, sehen;
c13-045;praestāre, praestō, praestitī m. Dat.;übertreffen;
c13-046;potentia;Macht;
c13-047;plūs valēre quam;mehr gelten als;
c13-048;Gallia;Gallien;
c13-049;aurum;Gold;
c13-050;omnis, e;ganz, jeder; Pl. alle
c13-051;instituere, instituō, instituī;beginnen, einrichten, unterrichten;
c13-052;atque / ac;und (auch);
c13-053;cōpiae, cōpiārum (f Pl.);Truppen;
c13-054;prīstinus, a, um;früher;
Lektion 14;;;
c14-001;sedēre, sedeō, sēdī;sitzen;
c14-002;fīnis, is m (Gen. Pl. -ium);Grenze, Ende; Ziel, Zweck,  Pl. Gebiet
c14-003;instāre, instō, institī;bevorstehen, hart zusetzen;
c14-004;volāre, volō;fliegen, eilen;
c14-005;sēcum;mit sich, bei sich;
c14-006;mare, maris n (Abl. Sg. -ī; Nom./Akk. Pl. -ia; Gen. Pl. -ium), Meer
c14-007;scelerātus, a, um;verbrecherisch, schändlich; Subst. Verbrecher
c14-008;nōnnullī, ae, a;einige, manche;
c14-009;āter, ātra, ātrum;schwarz, düster;
c14-010;quiēscere, quiēscō, quiēvī;(aus)ruhen; schlafen
c14-011;nauta m;Seemann, Matrose;
c14-012;secundus, a, um;der zweite;
c14-013;cēterī, ae, a;die übrigen;
c14-014;rapere, rapiō, rapuī;wegreißen, rauben, wegreißen;
c14-015;ferus, a, um;wild;
c14-016;perīre, pereō, periī;zugrunde gehen, umkommen;
c14-017;reperīre, reperiō, repperī;(wieder)finden;
c14-018;in tūtō;in Sicherheit;
c14-019;praeda;Beute;
c14-020;classis, classis f (Gen. Pl. -ium);Flotte; Abteilung
c14-021;adīre, adeō, adiī m. Akk.;herantreten (an), bitten;
c14-022;neque ... neque / nec ... nec;weder ... noch;
c14-023;exīstimāre, exīstimō;(ein)schätzen, meinen;
c14-024;ut;wie;
c14-025;profectō Adv.;sicherlich, tatsächlich;
c14-026;Neptūnus;Neptun (Gott des Meeres);
c14-027;cingere, cingō, cīnxī;umgeben, umzingeln;
c14-028;ēicere, ēiciō, ēiēcī;hinauswerfen, vertreiben;
c14-029;trānsīre, trānseō, trānsiī;hinübergehen, überschreiten;
c14-030;ventus;Wind;
c14-031;Graecia;Griechenland;
c14-032;pīrāta m;Pirat, Seeräuber;
c14-033;armātus, a, um;bewaffnet;
c14-034;observāre, observō;beobachten;
c14-035;īre, eō, iī;gehen;
c14-036;ostendere, ostendō, ostendī;zeigen, darlegen;
c14-037;captīvus, a, um;gefangen; Subst. (Kriegs-)Gefangener
c14-038;inīre, ineō, iniī;hineingehen; beginnen
c14-039;celeritās, celeritātis f;Schnelligkeit;
c14-040;adversus, a, um;entgegengesetzt, feindlich;
c14-041;ruere, ruō, ruī;eilen, stürmen, stürzen;
c14-042;plērīque, plēraeque, plēraque;die meisten, sehr viele;
c14-043;ēripere, ēripiō, ēripuī;entreissen;
c14-044;unda;Welle, Gewässer;
Lektion 15;;;
c15-001;Pūnicus, a, um;punisch;
c15-002;fātum;Schicksal, Götterspruch;
c15-003;Mercurius;Merkur (der Götterbote);
c15-004;quaerere, quaerō, quaesīvī;erwerben wollen, suchen; fragen
c15-005;sponde meā (tuā, suā);freiwillig, aus eigener Kraft, von selbst;
c15-006;gravis, e;schwer;
c15-007;caelum;Himmel;
c15-008;pius, a, um;fromm, gerecht, pflichtbewusst;
c15-009;adicere, adiciō, adiēcī;hinzufügen;
c15-010;crūdēlis, e;grausam;
c15-011;regiō, regiōnis f;Gebiet, Gegend, Richtung;
c15-012;locus;Ort, Platz, Stelle;
c15-013;libēns, libentis;gern;
c15-014;posterī, posterōrum (m. Pl.);die Nachkommen;
c15-015;posterus, a, um;folgend;
c15-016;dōnāre, dōnō;schenken, beschenken;
c15-017;somnus;Schlaf;
c15-018;at;aber, jedoch, dagegen;
c15-019;fugere, fugiō, fūgī (m. Akk.);fliehen (vor), meiden;
c15-020;nimis (Adv.);(all)zu, (all)zu sehr;
c15-021;dēsinere, dēsinō, dēsīī;aufhören;
c15-022;illic (Adv.);dort;
c15-023;turpis, e;(sittlich) schlecht, hässlich, schändlich;
c15-024;tam;so;
c15-025;Aenēās, Aenēae m;Äneas (trojanischer Held, Stammvater der Römer);
c15-026;litus, litorīs n;Küste, Strand;
c15-027;trīstis, e;traurig, unfreundlich;
c15-028;fallere, fallō, fefellī;täuschen, betrügen;
c15-029;iubēre, iubeō, iussī (m. Akk.);anordnen, befehlen;
c15-030;Anchīsēs, Anchīsae m;Anchises (Vater des Äneas);
c15-031;sē gerere;sich verhalten;
c15-032;regere, regō, rēxī;lenken, leiten; beherrschen
c15-033;Dīdō, Dīdōnis f;Dido (Königin von Karthago);
c15-034;crēdere, crēdō, crēdidī;anvertrauen, glauben;
c15-035;Carthāgō, Carthāginis f;Karthago (Stadt in Nordafrika);
c15-036;dolus;List, Täuschung;
c15-037;iūcundus, a, um;angenehm, erfreulich;
c15-038;improbus, a, um;schlecht, unanständig;
c15-039;pervenīre, perveniō ad / in (m. Akk.);kommen zu / nach;
c15-040;flectere, flectō, flexī;biegen, (hin)lenken, umstimmen;
c15-041;Trōia;Troja (Stadt in Kleinasien; wurde im Trojanischen Krieg von den Griechen erobert)
c15-042;monēre, moneō, monuī;(er)mahnen;
c15-043;prōmittere, prōmittō, prōmīsī;versprechen;
c15-044;fuga;Flucht;
c15-045;temptāre, temptō;angreifen; versuchen, prüfen
Lektion 16;;;
c16-001;statuere, statuō, statuī, statūtum;aufstellen; beschließen,  festsetzen
c16-002;interrogāre, interrogō;fragen;
c16-003;modus m;Art; Weise,  Maß
c16-004;Thēmistoclēs, is m;Themistokles (athenischer Staatsmann und Feldherr);
c16-005;tandem;endlich; im Fragesatz: denn eigentlich
c16-006;prōspicere, prōspiciō, prōspexī, prōspectum;schauen auf; sehen,  vorhersehen
c16-007;intellegere, intellegō, intellēxī, intellēctum;(bemerken; verstehen) einsehen,  erkennen
c16-008;amīcum dēficere;den Mut sinken lassen;
c16-009;Apollō, Apollinis m;Apollo (Gott des Lichtes, der Künste und der Weissagung);
c16-010;alter, altera, alterum;ein anderer; der andere (von zweien)
c16-011;iterum Adv.;wiederum; nochmals
c16-012;cūra f;Sorge; Pflege
c16-013;animāre, animō;anregen; beleben,  ermuntern
c16-014;ne (unübersetzte Fragepartikel);(unübersetzte Fragepartikel);
c16-015;cīvitās, cīvitātis f;Bürgerrecht; Gemeinde,  Staat
c16-016;exīre, exeō, exiī (exīvī), exitum;hinausgehen; weggehen
c16-017;ipse, ipsa, ipsum;selbst; persönlich (er, sie, es selbst)
c16-018;aedificāre, aedificō;bauen; errichten
c16-019;quandō?;wann;
c16-020;Pȳthia f;Pythia (Priesterin, durch die Apollo zu den Fragestellern sprach);
c16-021;Delphī, Delphōrum m Pl.;Delphi (berühmte Orakelstätte des Apollo in Griechenland);
c16-022;animus m;Geist; Gesinnung,  Herz,  Mut
c16-023;redīre, redeō, rediī (redīvī), reditum;zurückkehren; zurückkommen
c16-024;cūrāre, cūrō;sorgen (für); pflegen
c16-025;sacerdōs, sacerdōtis m/f;Priester(in);
c16-026;ante Adv.;vorher; früher
c16-027;dēserere, dēserō, dēseruī;verlassen; im Stich lassen
c16-028;Mārs, Mārtis m;Mars (Gott des Krieges);
c16-029;Delphōs;nach Delphi;
c16-030;superbia f;Stolz; Überheblichkeit
c16-031;lēgātus m;Gesandter; Bevollmächtigter,  Legat
c16-032;cōnfirmāre, cōnfirmō;bekräftigen; ermutigen,  stärken,  bestätigen
c16-033;supplicium n;flehentliches Bitten; Strafe,  bestätigen
c16-034;fīnīre, fīniō;beenden; aufhören (mit)
c16-035;Athēnae, Athēnārum f Pl.;Athen (bedeutende Stadt in Griechenland);
c16-036;ōrāculum n;Orakel; Orakelspruch,  Orakelstätte
c16-037;glōria f;Ehre; Ruhm
c16-038;legātiō, legātiōnis f;Gesandtschaft; Delegation
Lektion 17;;;
c17-001;nocturnus, a, um;nächtlich;
c17-002;mōnstrum;Wunderzeichen; Ungeheuer, Gespenst
c17-003;excitāre, excitō;wecken, erregen, ermuntern;
c17-004;antīquus, a, um;alt, altertümlich;
c17-005;perterrēre, perterreō, perterrui;sehr erschrecken, einschüchtern;
c17-006;invenīre, inveniō, invēnī;finden, erfinden;
c17-007;mox (Adv.);bald, dann;
c17-008;iterum atque iterum;immer wieder;
c17-009;philosophus;Philosoph;
c17-010;permovēre, permoveō, permōvī;beunruhigen, veranlassen;
c17-011;movēre, moveō, mōvī;bewegen;
c17-012;contendere, contendō, contendī;eilen; sich anstrengen,  behaupten
c17-013;incrēdibilis, e;unglaublich;
c17-014;abīre, abeō, abiī;weggehen;
c17-015;quondam (Adv.);einst, einmal; manchmal
c17-016;immō (vērō) (Adv.);ja sogar, vielmehr; im Gegenteil
c17-017;salūtem dīcere m. Dat.;jdn. grüßen;
c17-018;tālis, e;derartig, ein solcher, so (beschaffen);
c17-019;ignōtus, a, um;unbekannt;
c17-020;Athēnās;nach Athen;
c17-021;Athēnīs;in Athen;
c17-022;commovēre, commoveō, commōvī;bewegen, veranlassen;
c17-023;condūcere, condūcō, condūxī;zusammenführen; anwerben, mieten
c17-024;tempus, temporis n;(günstige) Zeit; Pl. Umstände
c17-025;abesse, absum, āfuī;abwesend sein, fehlen;
c17-026;līber, lībera, līberum;frei;
c17-027;vinculum;Band, Fessel; Pl. Gefängnis
c17-028;fābula;Geschichte, Erzählung, Theaterstück;
c17-029;tenebrae, tenebrārum f Pl.;Dunkelheit, Finsternis;
c17-030;perturbāre, perturbō;in Verwirrung bringen;
c17-031;mīrus, a, um;wunderbar, erstaunlich;
c17-032;valē;leb wohl!;
c17-033;amplus, a, um;weit, groß, bedeutend;
c17-034;ferrum;Eisen, Waffe;
c17-035;sinere, sinō, sīvī;lassen, erlauben;
c17-036;silentium;Schweigen, Stille;
c17-037;prōcēdere, prōcēdō, prōcessī;(vorwärts)gehen, vorrücken;
Lektion 18;;;
c18-001;parere, pariō, peperī, partum;zur Welt bringen; schaffen
c18-002;nūntiāre, nūntiō;melden;
c18-003;interficere, interficiō, interfēcī, interfectum;töten, vernichten;
c18-004;nympha;Nymphe (weibliche Naturgottheit, z. B. Baum-, Fluss- oder Quellnymphe);
c18-005;dēligere, dēligō, dēlēgī, dēlēctum;(aus)wählen;
c18-006;fēmina;Frau;
c18-007;paulātim (Adv.);allmählich;
c18-008;respicere, respiciō, respēxī, respectum;zurückblicken; berücksichtigen
c18-009;movēre, moveō, mōvī, mōtum;bewegen;
c18-010;cīvis, cīvis m (Gen. Pl. -ium);Bürger;
c18-011;mitterre, mittō, mīsī, missum;(los)lassen, schicken, werfen;
c18-012;colere, colō, coluī, cultum;bewirtschaften, pflegen; verehren
c18-013;permovēre, permoveō, permōvī, permōtum;beunruhigen, veranlassen;
c18-014;pōnere, pōnō, posuī, positum;(auf)stellen, (hin)legen, setzen;
c18-015;commovēre, commoveō, commōvī, commōtum;bewegen, veranlassen;
c18-016;campus;Feld, freier Platz, Ebene;
c18-017;religiō, religiōnis f;Glauben, (Gottes-)Verehrung, Frömmigkeit, Gewissenhaftigkeit; Aberglaube
c18-018;imperāre, imperō (m. Dat.);befehlen, herrschen (über);
c18-019;negāre, negō;verneinen, leugnen; verweigern
c18-020;supplex, supplicis;demütig bittend;
c18-021;Trōiānus, a, um;trojanisch; Subst. Trojaner
c18-022;sōl, sōlis m;Sonne;
c18-023;nōmen, nōminis n;Name;
c18-024;Vēnus, Vēneris f;Venus (Göttin der Liebe);
c18-025;prīmō sōle;bei Sonnenaufgang;
c18-026;augēre, augeō, auxī, auctum;vermehren, vergrößern;
c18-027;cēnsēre, cēnseō, cēnsuī, cēnsum;meinen, einschätzen;
c18-028;annus;Jahr;
c18-029;dare, dō, dedī, datum;geben;
c18-030;instruere, instruō, instrūxī, instrūctum;aufstellen, ausrüsten; unterrichten
c18-031;amōre captus;von Liebe ergriffen, verliebt;
c18-032;mandāre, mandō;einen Auftrag geben, übergeben;
c18-033;complūrēs, complūra;mehrere;
c18-034;prex, precis f;Bitte; Pl. Gebet
c18-035;officium;Dienst, Pflicht(gefühl);
c18-036;mortālis, e;sterblich; Subst. Mensch
c18-037;Augustus (Imperātor Caesar dīvī fīlius);Augustus (herrschte 27 v. – 14 n. Chr. als erster röm. Kaiser);
c18-038;vidēre, videō, vīdī, vīsum;sehen; darauf achten
c18-039;capere, capiō, cēpī, captum;fassen, nehmen, erobern;
Lektion 19;;;
c19-001;hic, haec, hoc;dieser, diese, dieses (hier); folgender
c19-002;diēs, diēī m;Tag;
c19-003;dūcere, dūcō, dūxī, ductum;führen, ziehen;
c19-004;barbarus;Ausländer, „Barbar“;
c19-005;duo, duae, duo;zwei;
c19-006;dignitās, dignitātis f;Würde; Ansehen,  (gesellschaftliche) Stellung
c19-007;signum;Merkmal, Zeichen; Statue
c19-008;pūblicus, a, um;öffentlich, staatlich;
c19-009;fēlix, fēlicis;erfolgreich, Glück bringend, glücklich;
c19-010;ita rēs sē habet;die Sache verhält sich so;
c19-011;spēs, speī f;Erwartung, Hoffnung;
c19-012;triumphus;Triumph(zug);
c19-013;spectāculum;Schauspiel;
c19-014;rēgius, a, um;königlich;
c19-015;rēs secundae f Pl.;Glück;
c19-016;incēdere, incēdō, incessī, incessum (m. Akk.);heranrücken, eintreten; (jdn.) befallen
c19-017;secundus, a, um;der zweite; günstig
c19-018;ille, illa, illud;jener, jene, jenes;
c19-019;aes, aeris n;Erz, Geld;
c19-020;relinquere, relinquō, relīquī, relictum;unbeachtet lassen, verlassen, zurücklassen;
c19-021;longus, a, um;lang, weit;
c19-022;rēs adversae f Pl.;schlechte Umstände, Unglück;
c19-023;nimius, a, um;übermäßig, zu groß;
c19-024;rēs, reī f;Angelegenheit, Ding, Sache;
c19-025;Aemilius Paulus;Lucius Aemilius Paulus (römischer Feldherr);
c19-026;tantus, a, um;so groß, so viel;
c19-027;perterrēre, perterreō, perterruī, perterritum;sehr erschrecken, einschüchtern;
c19-028;vincere, vincō, vīcī, victum;(be)siegen, übertreffen;
c19-029;victor, victōris;Sieger; Adj. siegreich
c19-030;aureus, a, um;golden;
c19-031;facere, faciō, fēcī, factum;machen, tun, handeln;
c19-032;cōnficere, cōnficiō, cōnfēcī, cōnfectum;beenden, fertig machen;
c19-033;tabula;Tafel, Gemälde; Aufzeichnung
c19-034;argentum;Silber;
c19-035;dux, ducis m;Anführer;
c19-036;miseria;Not, Elend; Unglück
c19-037;via;Straße, Weg;
c19-038;subicere, subiiciō, subiēcī, subiectum;darunterlegen, unterwerfen;
c19-039;āmītterē, āmittō, āmīsī, āmissum;aufgeben, verlieren;
c19-040;equēs, equitis m;Reiter, Ritter;
c19-041;agere, agō, ēgī, āctum;handeln, treiben, verhandeln;
c19-042;praeclārus, a, um;großartig;
c19-043;ferē Adv.;beinahe, fast; ungefähr
c19-044;servitūs, servitūtis f;Sklaverei;
c19-045;simul Adv.;zugleich, gleichzeitig;
Lektion 20;;;
c20-001;magis (Adv.);mehr, eher;
c20-002;membrum;Glied, Körperteil;
c20-003;recipere, recipiō, recēpī, receptum;aufnehmen, wiederbekommen, zurücknehmen;
c20-004;Echō f;Echo (eine Waldnymphe);
c20-005;accendere, accendō, accendī, accēnsum;anfeuern, anzünden;
c20-006;sē recipere;sich zurückziehen;
c20-007;inter (Präp. m. Akk.);unter; während,  zwischen
c20-008;crēscere, crēscō, crēvī;wachsen;
c20-009;ager, agrī m;Acker, Feld, Gebiet;
c20-010;nihil / nil;nichts;
c20-011;dēmum (Adv.);endlich;
c20-012;prope (Adv.);in der Nähe; beinahe
c20-013;hinc (Adv.);von hier, hierauf;
c20-014;ārdēre, ārdeō, ārsī;brennen;
c20-015;rūrsus (Adv.);wieder;
c20-016;Narcissus;Narzißus (ein sehr schöner junger Mann);
c20-017;dolor, dolōris m;Schmerz;
c20-018;tangere, tangō, tetigī, tāctum;berühren;
c20-019;postulāre, postulō;fordern;
c20-020;accipere, accipiō, accēpī, acceptum;aufnehmen, erhalten, erfahren;
c20-021;nātūra;Beschaffenheit, Natur, Wesen;
c20-022;repētere, repetō, repetīvī, repetītum;(zurück)verlangen, wiederholen;
c20-023;occurrere, occurrō, occurrī;begegnen, entgegentreten;
c20-024;solvere, solvō, solvī, solūtum;(auf)lösen, bezahlen;
c20-025;auris, auris f (Gen. Pl. -ium);Ohr;
c20-026;vetāre, vetō, vetuī (m. Akk.);verhindern, verbieten;
c20-027;silva;Wald;
c20-028;terrēre, terreō, terruī, territum;erschrecken;
c20-029;iuvenis, iuvenis m;junger Mann; Adj. jung
c20-030;vestigium;Spur, Fußsohle, Stelle;
c20-031;arbor, arboris f;Baum;
c20-032;amōre accēnsus;in Liebe entflammt, verliebt;
c20-033;repellere, repellō, reppulī, repulsum;zurückstoßen, abweisen, vertreiben;
c20-034;hūc (Adv.);hierher;
