Lektion 1;;;
c04-031;uxor, uxōrem f;Ehefrau;
c04-032;adulēscēns, adulēsentem m;junger Mann;
c04-033;Lūcius;Lucius;mänlicher Eigenname
c04-034;Quīntus;Quintus;mänlicher Eigenname
Lektion 5;;;
c05-001;puer, puerum;Junge, Bub;
c05-002;mittere, mittō;(los)lassen, schicken, werfen;Messe, Mission, f. mettre
c05-003;domina;Herrin;
c05-004;iubēre, iubeō m. Akk.;anordnen, befehlen;Jussiv
c05-005;emere, emō;kaufen;
c05-006;serva;Sklavin;
c05-007;adesse, adsum;"(da sein); helfen";
c05-008;dubitāre, dubitō m. Inf.;zögern;e. to doubt
c05-009;parāre, parō;"bereiten, vorbereiten; vorhaben; erwerben";parat, Apparat, reparieren
c05-010;dēbēre, dēbeō;"müssen, sollen; schulden";Debitor
c05-011;ōrnāre, ōrnō;schmücken;Ornat, Ornament
c05-012;mēnsa;Tisch;
c05-013;labōrāre, labōrō;arbeiten;Laboratorium, Labour-Partei
c05-014;cēna;Essen, Mahlzeit;
c05-015;tū (betont);du;f. tu
c05-016;illūc Adv.;dahin, dorthin;
c05-017;bene Adv.;gut;f. bien
c05-018;quod Subj. m. Ind.;dass, weil;
c05-019;respondēre, respondeō;antworten, entsprechen;Korrespondenz, e. to respond
c05-020;līberī, līberōs m Pl.;Kinder;
c05-021;māter, mātrem f;Mutter;e. mother
c05-022;ostendere, ostendō;zeigen, darlegen;ostentativ
c05-023;placēre, placeō;gefallen;e. pleasure
c05-024;igitur Adv.;also, folglich;
c05-025;paulō Adv.;(um) ein wenig;
c05-026;post Adv.;dann, später;
c05-027;paulō post;kurz darauf;
c05-028;portāre, portō;tragen, bringen;exportieren, transportieren
c05-029;Dāvus;Davus;mänlicher Eigenname
c05-030; Āfra;Afra;weiblicher Eigenname
c05-031;Melissa;Melissa;weiblicher Eigenname
c05-032;Ancus;Ancus;mänlicher Eigenname
Lektion 6;;;
c06-001;velle, volō;wollen;Volontär
c06-002;circiter Adv.;ungefähr;
c06-003;vīgintī indekl.;zwanzig;f. vingt
c06-004;vestis, vestis f (Gen. Pl. vest-ium);Kleid, Kleidung;Weste
c06-005;sacrum;Opfer, Heiligtum;Sakrament
c06-006;convīvium;Gastmahl, Gelage;
c06-007;prīmō Adv.;zuerst;
c06-008;toga;Toga (Kleidungsstück des römischen Mannes);
c06-009;tunica;Tunika (Unterkleid unter der Toga);
c06-010;verbum;Wort, Äußerung;Verbum, verbal
c06-011;pars, partis f (Gen. Pl. -ium);Richtung, Seite, Teil;Partei, partiell, e./f. part
c06-012;cōpia;Menge, Vorrat, Möglichkeit;Kopie, kopieren, e. copy
c06-013;togam sūmere;die Toga anlegen;
c06-014;cōnsilium;Beratung, Beschluss, Plan, Rat;e. to counsel
c06-015;admittere, admittō;hinzuziehen, zulassen;e. to admit
c06-016;fīlius;Sohn;f. fils
c06-017;attingere, attingō;berühren;e. to attain
c06-018;probāre, probō;beweisen, für gut befinden;probieren
c06-019;nōn-ne (im dir. Fragesatz);(etwa) nicht?;
c06-020;auxilium;Hilfe;
c06-021;gerere, gerō;ausführen, führen, tragen;Geste, gestikulieren
c06-022;fīlia;Tochter;Filiale, f. fille
c06-023;-que;und;## filiusque filia -> Sohn und Tochter ##
c06-024;oculus;Auge;Okular, e. eye
c06-025;convertere, convertō (in m. Akk.);verändern, (um)wenden, richten (auf);konvertieren, e. to convert
c06-026;compōnere, compōnō;vergleichen;komponieren, Komponente
c06-027;amor, amōris m;Liebe;f. amour
c06-028;remanēre, remaneō;(zurück)bleiben;e. to remain
c06-029;pater, patris m;Vater;Pater, Patrizier, e. father
c06-030;nōlle, nōlō;nicht wollen;„nolens volens“
Lektion 7;;;
c07-001;cupere, cupiō;verlangen, wünschen, wollen;
c07-002;propinquus;Verwandter;
c07-003;lībertus;Freigelassener;
c07-004;gēns, gentis f (Gen. Pl. -ium);Familienverband, Stamm, Volk;f. gens
c07-005;parēns, parentis m/f;Vater, Mutter;
c07-006;parentēs, parentum m Pl.;Eltern;e./f. parents
c07-007;soror, sorōris f;Schwester;
c07-008;gaudium;Freude;Gaudi
c07-009;aspicere, aspiciō;erblicken;Aspekt, e. aspect
c07-010;āra;Altar;
c07-011;dīcere, dīcō;sagen, sprechen;dichten, diktieren
c07-012;capere, capiō;"fassen, nehmen; erobern";kapern, „kapieren“
c07-013;facere, faciō;machen, tun, handeln;Fazit, Faktor
c07-014;dūcere, dūcō;führen, ziehen;Aquädukt
c07-015;aedis, aedis f (Gen. Pl. -ium);"Tempel; Pl. Haus, Gebäude";
c07-016;deus;Gott, Gottheit;„ade“, „adieu“
c07-017;dea;Göttin;
c07-018;salūs, salūtis f;Gesundheit, Glück, Rettung, Gruß;Salut, e. salute
c07-019;pāx, pācis f;Friede;Pazifist, e. peace, f. paix
c07-020;ōrāre, ōrō (m. dopp. Akk.);bitten (jdn. um etw.), beten;Oratorium
c07-021;hospes, hospitis m;Fremder, Gast, Gastgeber;Hospital, Hospiz, Hotel
c07-022;convenīre, conveniō;besuchen, zusammenkommen, zusammenpassen;Konvention, Konvent, konventionell
c07-023;pārēre, pāreō;gehorchen, sich richten nach;parieren
c07-024;aqua;Wasser;Aquarium, Aquädukt
c07-025;posteā Adv.;nachher, später;
c07-026;cibus;Nahrung, Speise;
c07-027;praebēre, praebeō;geben, hinhalten;
c07-028;bibere, bibō;trinken;f. boire
c07-029;cōnsulere, cōnsulō ;m. Dat. sorgen für;e. to consult
c07-030;post Präp. m. Akk. / Adv.;hinter, nach / dann, später;
c07-031;ōrātiō, ōrātiōnis f;Rede;
c07-032;habēre, habeō;haben, halten;Habit, e. to have
c07-033;vōbīs Dat.;euch;f. vous
c07-034;grātia;Ansehen, Beliebtheit, Dank, Gefälligkeit;Grazie, graziös, e. grace
c07-035;grātiās agere;danken;
